"job_id","job_title","job_location","salary_year_avg","company_name","skills"
552322,"Associate Director- Data Insights","Anywhere","255829.5","AT&T","sql"
552322,"Associate Director- Data Insights","Anywhere","255829.5","AT&T","python"
552322,"Associate Director- Data Insights","Anywhere","255829.5","AT&T","r"
552322,"Associate Director- Data Insights","Anywhere","255829.5","AT&T","azure"
552322,"Associate Director- Data Insights","Anywhere","255829.5","AT&T","databricks"
552322,"Associate Director- Data Insights","Anywhere","255829.5","AT&T","aws"
552322,"Associate Director- Data Insights","Anywhere","255829.5","AT&T","pandas"
552322,"Associate Director- Data Insights","Anywhere","255829.5","AT&T","pyspark"
552322,"Associate Director- Data Insights","Anywhere","255829.5","AT&T","jupyter"
552322,"Associate Director- Data Insights","Anywhere","255829.5","AT&T","excel"
